Tag,Eng Units,Archive Zero,Archive Span,Observed Zero,Observed Span,Flag,Status,Snapshot Start Time,Snapshot Count,Scan Rate (Observed),Archive Exc Dev,Archive Exc Min,Archive Exc Max,Archive Comp Dev,Archive Comp Min,Archive Comp Max,Archive Fidelity(%),Archive Count,Archive Ratio(%),Archive Data Storage(MB),Recommended Exc Dev,Recommended Exc Min,Recommended Exc Max,Recommended Comp Dev,Recommended Comp Min,Recommended Fidelity(%),Recommended Count,Recommended Ratio(%),Recommended Data Storage(MB),Annual Data Storage Savings(MB),Fidelity Change(%)
R_6ZTIC15224-PV,DEGF,32,392,226.3123,35.27461,-,-,10/24/2019 4:22:11 AM,997799,2 (2) s,0.000392,0 s,1 m,0.000784,0 s,5 m,100,997108,99.93075,,0.03064053,0 s,1 m,0.06128106,0 s,85.4,344134,34.48931,,,-14.6
R_5ZFIC6158-VL,KPPH,0,100,35.34749,47.2192,-,-,10/10/2019 9:17:24 AM,54095,3 (3) s,0.0001,0 s,1 m,0.0002,0 s,5 m,100,54024,99.86875,,0.1208951,0 s,1 m,0.2417902,0 s,86.2,25346,46.85461,,,-13.8
R_5RTI6365A-PV,,0,600,171.7835,247.3608,-,-,10/10/2019 9:16:34 AM,397637,2 (2) s,0,0 s,10 m,0.36,0 s,8 h,95.2,16048,4.035841,,0.1929648,0 s,10 m,0.3859296,0 s,87.2,8411,2.115246,,,-8
P_0PPIC6672-VL,%,0,100,7.521843E-22,65.83047,-,-,10/10/2019 9:18:00 AM,476858,4 (4) s,0.0001,0 s,10 m,0.0002,0 s,8 h,100,476597,99.94527,,0.1004469,0 s,10 m,0.2008938,0 s,85.6,240178,50.36678,,,-14.4
P_2PBJI11084-PV,INT,0,64,-2.32,61.37196,-,-,9/26/2019 10:37:31 AM,11768,4 (4) s,0.32,0 s,10 m,0.64,0 s,8 h,94.8,4724,40.14276,,0.2622829,0 s,10 m,0.5245659,0 s,95.9,5555,47.20428,,,1.1
R_4RFIC1276A-VL,%,0,100,0,100,Check Signal,-,10/10/2019 9:15:48 AM,113285,7 (7) s,0.0001,0 s,1 m,0.0002,0 s,5 m,100,113173,99.90113,,0.02093955,0 s,1 m,0.0418791,0 s,95.7,101147,89.28543,,,-4.3
R_5RTIC6210-VL,,0,100,38.90583,61.09417,-,-,10/10/2019 9:17:21 AM,42054,3 (3) s,0.0001,0 s,1 m,0.0002,0 s,5 m,100,41429,98.51382,,0.02500942,0 s,1 m,0.05001885,0 s,92.6,8800,20.92548,,,-7.4
R_5RWI2041H6-PV,LBS,-100000,200000,146.7047,1521.753,Hard to Compress,Stale,10/10/2019 9:26:08 AM,3767,2 (2) s,0,0 s,10 m,0,0 s,8 h,100,3766,99.97345,,3.354017,0 s,10 m,6.708034,0 s,98.2,3556,94.39873,,,-1.8
R_5ZFI6383A-PV,GPM,0,10000,6168.395,2301.668,-,Stale,10/10/2019 9:16:48 AM,14786,2 (2) s,0,0 s,10 m,200,0 s,8 h,45,218,1.474368,,8.997871,0 s,10 m,17.99574,0 s,85.8,7839,53.01637,,,40.8
0RTR6365A.PV,DEGF,0,600,171.7835,247.3608,-,-,10/10/2019 9:13:09 AM,397659,3 (3) s,0.1881969,0 s,18 h,0.3763938,0 s,8 h,94.8,9844,2.475488,,0.1928444,0 s,18 h,0.3856889,0 s,87.2,8441,2.122673,,,-7.6
